"","Var1","Var2","value","strength","estiamte.cor","CI1","CI2","pval"
"1","texture_se","radius_se",0.213247337251158,"weak",0.213247337251158,0.133387858221191,0.29035542442935,2.82544029043842e-07
"2","perimeter_se","radius_se",0.972793677016075,"strong",0.972793677016075,0.967998503699778,0.976878772800755,0
"3","area_se","radius_se",0.95183011211099,"strong",0.95183011211099,0.943445985930269,0.958997515987488,2.84133232965399e-293
"4","smoothness_se","radius_se",0.164514219812812,"weak",0.164514219812812,0.0834450635104226,0.243420087172109,8.06230834908312e-05
"5","compactness_se","radius_se",0.356064575532203,"mid",0.356064575532203,0.282124126213474,0.425799972212367,1.89061544309378e-18
"6","concavity_se","radius_se",0.33235753760761,"mid",0.33235753760761,0.257186041144661,0.403531038406465,3.85132232368534e-16
"7","concavePoints_se","radius_se",0.513346441436765,"strong",0.513346441436765,0.450143041405164,0.571431955910318,1.41842545539922e-39
"8","symmetry_se","radius_se",0.240567362450071,"weak",0.240567362450071,0.161564592570437,0.316506307230169,6.1965539580918e-09
"9","fractalDimension_se","radius_se",0.227753532671981,"weak",0.227753532671981,0.148332884435268,0.304255193082459,3.94767605244228e-08
"10","radius_se","texture_se",0.213247337251158,"weak",0.213247337251158,0.133387858221191,0.29035542442935,2.82544029043842e-07
"11","perimeter_se","texture_se",0.223170728630714,"weak",0.223170728630714,0.143607521621164,0.299867488972507,7.45933754204486e-08
"12","area_se","texture_se",0.111567247218039,"weak",0.111567247218039,0.029641520318947,0.19200401987505,0.00772721484133791
"13","smoothness_se","texture_se",0.39724285264121,"mid",0.39724285264121,0.325679511514391,0.464280538742144,5.98222446557077e-23
"14","compactness_se","texture_se",0.231699698976237,"weak",0.231699698976237,0.152404713357673,0.308030763285122,2.25759006728574e-08
"15","concavity_se","texture_se",0.194998464458819,"weak",0.194998464458819,0.114638377821978,0.272823103478626,2.78230128054956e-06
"16","concavePoints_se","texture_se",0.230283399557033,"weak",0.230283399557033,0.150943003217412,0.306675968236634,2.76220220023973e-08
"17","symmetry_se","texture_se",0.411620680197539,"mid",0.411620680197539,0.340959210997258,0.47765708430583,1.12130730112555e-24
"18","fractalDimension_se","texture_se",0.279722747719194,"weak",0.279722747719194,0.202173675158284,0.353785872845533,1.09189158724776e-11
"19","radius_se","perimeter_se",0.972793677016075,"strong",0.972793677016075,0.967998503699778,0.976878772800755,0
"20","texture_se","perimeter_se",0.223170728630714,"weak",0.223170728630714,0.143607521621164,0.299867488972507,7.45933754204486e-08
"21","area_se","perimeter_se",0.937655406954416,"strong",0.937655406954416,0.926896531383119,0.946874519396959,2.09492063681039e-262
"22","smoothness_se","perimeter_se",0.151075331208413,"weak",0.151075331208413,0.0697438559228808,0.230411630373639,0.000298541811236249
"23","compactness_se","perimeter_se",0.416322367992462,"mid",0.416322367992462,0.345963933368274,0.482024710151093,2.92737957424949e-25
"24","concavity_se","perimeter_se",0.362481582270449,"mid",0.362481582270449,0.28889157973999,0.431813220203763,4.14181590961794e-19
"25","concavePoints_se","perimeter_se",0.556264083654396,"strong",0.556264083654396,0.496781123202065,0.610545340434519,1.56106885769581e-47
"26","symmetry_se","perimeter_se",0.266487091864023,"weak",0.266487091864023,0.188416726476533,0.341210571085072,1.04768332166154e-10
"27","fractalDimension_se","perimeter_se",0.244142773416286,"weak",0.244142773416286,0.165261678661084,0.319920190540899,3.62568384364141e-09
"28","radius_se","area_se",0.95183011211099,"strong",0.95183011211099,0.943445985930269,0.958997515987488,2.84133232965399e-293
"29","texture_se","area_se",0.111567247218039,"weak",0.111567247218039,0.029641520318947,0.19200401987505,0.00772721484133791
"30","perimeter_se","area_se",0.937655406954416,"strong",0.937655406954416,0.926896531383119,0.946874519396959,2.09492063681039e-262
"31","smoothness_se","area_se",0.0751503381219938,"weak",0.0751503381219938,-0.00709102043932224,0.156381896012324,0.0732601371931342
"32","compactness_se","area_se",0.284840056541161,"weak",0.284840056541161,0.20750074793845,0.358640701748121,4.40672623958913e-12
"33","concavity_se","area_se",0.270894726190632,"weak",0.270894726190632,0.19299455761144,0.345401272069367,5.00148768256148e-11
"34","concavePoints_se","area_se",0.4157295683714,"mid",0.4157295683714,0.345332705793322,0.481474209671243,3.47156675175026e-25
"35","symmetry_se","area_se",0.134108979692475,"weak",0.134108979692475,0.0524900439443043,0.21394809386788,0.00134379410123388
"36","fractalDimension_se","area_se",0.127070902978013,"weak",0.127070902978013,0.0453469924880957,0.207105261663088,0.00239130239160328
"37","radius_se","smoothness_se",0.164514219812812,"weak",0.164514219812812,0.0834450635104226,0.243420087172109,8.06230834908312e-05
"38","texture_se","smoothness_se",0.39724285264121,"mid",0.39724285264121,0.325679511514391,0.464280538742144,5.98222446557077e-23
