"","Var1","Var2","value","strength","estiamte.cor","CI1","CI2","pval"
"1","texture_worst","radius_worst",0.359920754221048,"mid",0.359920754221048,0.286190017135825,0.42941425850081,7.62319773229597e-19
"2","perimeter_worst","radius_worst",0.993707916102951,"strong",0.993707916102951,0.992585067839514,0.994661186261744,0
"3","area_worst","radius_worst",0.984014564459074,"strong",0.984014564459074,0.98117822820738,0.986426408995293,0
"4","smoothness_worst","radius_worst",0.216574431259696,"weak",0.216574431259696,0.136812394216868,0.293546308562784,1.82054591210308e-07
"5","compactness_worst","radius_worst",0.475820037460147,"mid",0.475820037460147,0.409644174727712,0.537014296262957,1.73225430853387e-33
"6","concavity_worst","radius_worst",0.573974708099304,"strong",0.573974708099304,0.516127705278817,0.626609266194903,3.61674031282381e-51
"7","concavePoints_worst","radius_worst",0.787423851712241,"strong",0.787423851712241,0.75403039750692,0.816757347002852,3.05606387614783e-121
"8","symmetry_worst","radius_worst",0.243529204291313,"weak",0.243529204291313,0.164627071495636,0.319334480683498,3.9773634210665e-09
"9","fractalDimension_worst","radius_worst",0.0934919786793017,"weak",0.0934919786793017,0.0113818902748293,0.174349690153292,0.0257398897417977
"10","radius_worst","texture_worst",0.359920754221048,"mid",0.359920754221048,0.286190017135825,0.42941425850081,7.62319773229597e-19
"11","perimeter_worst","texture_worst",0.365098245408619,"mid",0.365098245408619,0.291653257080606,0.434263474929093,2.20793829195553e-19
"12","area_worst","texture_worst",0.345842282526797,"mid",0.345842282526797,0.271358747491645,0.416208127679623,1.97905589828181e-17
"13","smoothness_worst","texture_worst",0.225429414909487,"weak",0.225429414909487,0.145936016272583,0.302030423672726,5.46045549346083e-08
"14","compactness_worst","texture_worst",0.360832338597973,"mid",0.360832338597973,0.287151564790672,0.430268335340811,6.13900399425774e-19
"15","concavity_worst","texture_worst",0.368365607459945,"mid",0.368365607459945,0.295103414675237,0.437321610661501,9.98389700878682e-20
"16","concavePoints_worst","texture_worst",0.359754609525037,"mid",0.359754609525037,0.286014782167619,0.429258581692407,7.92946900368022e-19
"17","symmetry_worst","texture_worst",0.233027461445317,"weak",0.233027461445317,0.153775362915,0.309300585104459,1.86636294733541e-08
"18","fractalDimension_worst","texture_worst",0.219122425463159,"weak",0.219122425463159,0.139436302326429,0.295988829702276,1.29404720052599e-07
"19","radius_worst","perimeter_worst",0.993707916102951,"strong",0.993707916102951,0.992585067839514,0.994661186261744,0
"20","texture_worst","perimeter_worst",0.365098245408619,"mid",0.365098245408619,0.291653257080606,0.434263474929093,2.20793829195553e-19
"21","area_worst","perimeter_worst",0.977578091406388,"strong",0.977578091406388,0.973614903270216,0.980951732109463,0
"22","smoothness_worst","perimeter_worst",0.23677460388607,"weak",0.23677460388607,0.157645184690939,0.312882744093732,1.08404914474006e-08
"23","compactness_worst","perimeter_worst",0.529407690164103,"strong",0.529407690164103,0.467556323609247,0.586100486745556,2.02480590267757e-42
"24","concavity_worst","perimeter_worst",0.618344079533516,"strong",0.618344079533516,0.564856110321652,0.666657836332384,2.55920629178269e-61
"25","concavePoints_worst","perimeter_worst",0.816322101687544,"strong",0.816322101687544,0.78692710381575,0.842020359628108,2.84461657589656e-137
"26","symmetry_worst","perimeter_worst",0.269492769083817,"weak",0.269492769083817,0.191538097309867,0.34406863815961,6.33691979796716e-11
"27","fractalDimension_worst","perimeter_worst",0.138956861845757,"weak",0.138956861845757,0.0574150960676776,0.218656937110315,0.000888998582030888
"28","radius_worst","area_worst",0.984014564459074,"strong",0.984014564459074,0.98117822820738,0.986426408995293,0
"29","texture_worst","area_worst",0.345842282526797,"mid",0.345842282526797,0.271358747491645,0.416208127679623,1.97905589828181e-17
"30","perimeter_worst","area_worst",0.977578091406388,"strong",0.977578091406388,0.973614903270216,0.980951732109463,0
"31","smoothness_worst","area_worst",0.20914533376029,"weak",0.20914533376029,0.129168341011082,0.286418993540254,4.81110811747519e-07
"32","compactness_worst","area_worst",0.438296283779674,"mid",0.438296283779674,0.369407322199849,0.502394144618288,4.12443741644013e-28
"33","concavity_worst","area_worst",0.54333052541108,"strong",0.54333052541108,0.482690123252558,0.598786033002442,5.16847846023696e-45
